id,text,clean_text,place,user_location,created_at,username,user_id,class- Yunpeng,class -Laura,Xinsong,Finalize,sum,user_class -Laura,user_class -Yunpeng,notes: Laura,,,
790661336502067200,@jakky_jack Willie Lynch Syndrome is alive and well, Willie Lynch Syndrome is alive and well,,To the West of London | Middx,Mon Oct 24 21:08:47 +0000 2016,215,46897239,1,0,0,0,2,-1,1,"seems like a spammer, not sure, number might be username ",,,
790574203732983810,@JamilahLemieux Its Willy Lynch syndrome yall dont trust us but we dont give you anything to trust. Both the man and woman trust America., Its Willy Lynch syndrome yall dont trust us but we dont give you anything to trust  Both the man and woman trust America ,,Jerusalem,Mon Oct 24 15:22:32 +0000 2016,Extra Credit Vol. 3,413395020,1,0,0,0,2,-1,1,seems to be a spammer,,,
790563080371658752,@2010LeeHurst @Matthew_Wright Being a journalist I thought Matthew's diagnosis of Lynch syndrome was a typo. I assumed it was Lunch Syndrome, 2010LeeHurst  Being a journalist I thought Matthew s diagnosis of Lynch syndrome was a typo  I assumed it was Lunch Syndrome,,Up the creek sans paddle.,Mon Oct 24 14:38:20 +0000 2016,Barry,75311496,1,2,0,0,0,0,1,,,,
790492468609507328,I liked a @YouTube video https://t.co/lje7vBT9ox Willie Lynch Syndrome,I liked a  video Willie Lynch Syndrome,,DC Metro,Mon Oct 24 09:57:45 +0000 2016,brotherhebrew,18061113,0,0,,0,1,n/a,0,"doesn't seem to be a spammer, but not relevant, so didn't code",,,
7.90492E+17,Willie Lynch Syndrome https://t.co/f8yLpxh2R5 via @YouTube,Willie Lynch Syndrome via ,,DC Metro,Mon Oct 24 09:57:43 +0000 2016,brotherhebrew,18061113,1,0,0,0,2,n/a,0,,,,
790082217057869824,"You have William Lynch syndrome. You're programmed to support racist, blame the victims of racism instead. This cir https://t.co/LQDYOUgjes",You have William Lynch syndrome  You re programmed to support racist  blame the victims of racism instead  This cir ,,Listening to CNBLUE  ,Sun Oct 23 06:47:34 +0000 2016,♡♥ Yonghwasexual♡♥,148480933,1,0,2,0,0,n/a,0,,,,
788578235713851392,RT @Batez0123: @GrandDaddyIU the willie lynch syndrome #mansonebatez,RT    the willie lynch syndrome #mansonebatez,,New York City,Wed Oct 19 03:11:17 +0000 2016,MANSONE BATEZ .ORIG.,2505109824,1,0,0,0,2,n/a,0,,,,
788578160703000576,@GrandDaddyIU the willie lynch syndrome #mansonebatez, the willie lynch syndrome #mansonebatez,,New York City,Wed Oct 19 03:10:59 +0000 2016,MANSONE BATEZ .ORIG.,2505109824,1,0,0,0,2,n/a,0,,,,
788373635085930496,@cocoabliss45 i think its that Willie Lynch Syndrome that was taught and then inherited since slavery, i think its that Willie Lynch Syndrome that was taught and then inherited since slavery,,North Carolina,Tue Oct 18 13:38:16 +0000 2016,Derek_4real_4real,2712791740,1,0,0,0,2,n/a,0,,,,
788204373679759360,"@NuBlackVision @ChantaBSN @angelaw676 Because of Willie Lynch Syndrome, BM have no understanding what protection minus oppression is.",   Because of Willie Lynch Syndrome  BM have no understanding what protection minus oppression is ,,,Tue Oct 18 02:25:41 +0000 2016,Ebony Iris,28670599,1,0,0,0,2,n/a,0,,,,
788204177608548352,"@NuBlackVision @ChantaBSN @angelaw676 Because of Willie Lynch syndrome, BW have no reasonable expectation of protection for our men.",   Because of Willie Lynch syndrome  BW have no reasonable expectation of protection for our men ,,,Tue Oct 18 02:24:54 +0000 2016,Ebony Iris,28670599,1,0,0,0,2,n/a,0,,,,
788167449866895360,RT @ThulaniTwala: @702aubrey @radio702 Decolonization is about unchaining ourselves as black people from the Willy Lynch syndrome.,RT    702aubrey  Decolonization is about unchaining ourselves as black people from the Willy Lynch syndrome ,,"Gauteng , South Africa",Mon Oct 17 23:58:58 +0000 2016,Aubrey Masango,376387753,1,0,0,0,2,n/a,0,,,,
788167204453965824,@702aubrey @radio702 Decolonization is about unchaining ourselves as black people from the Willy Lynch syndrome., 702aubrey  Decolonization is about unchaining ourselves as black people from the Willy Lynch syndrome ,,,Mon Oct 17 23:57:59 +0000 2016,DUKE OF THE STREET.,414659211,2,0,0,0,2,n/a,0,,,,
788003209570758657,Willie lynch syndrome bro https://t.co/AXagYJWYSW,Willie lynch syndrome bro ,,,Mon Oct 17 13:06:20 +0000 2016,DragginFly,2654074840,1,0,0,0,2,n/a,0,,,,
791504676554313728,@web @AriMNazir Willie Lynch syndrome out here. I see you man I see you,  Willie Lynch syndrome out here  I see you man I see you,,Andreessen Horowitz ,Thu Oct 27 04:59:54 +0000 2016,Nait Jones,234857514,1,0,0,0,2,n/a,1,,,,
791719014758289410,Hillary cant even hold her own damn rallies... and dumbass michelle standing up there selling out her own people.. willie lynch syndrome smh,Hillary cant even hold her own damn rallies    and dumbass michelle standing up there selling out her own people   willie lynch syndrome smh,,Basket of Deplorable Land,Thu Oct 27 19:11:37 +0000 2016,DeplorableSerum,711971920934277122,1,0,0,0,2,n/a,1,,,,
792044268722483200,RT @DeplorableTodd: More of this crap from her?  Indict her!! #Lynchsyndrome #MAGA3X #draintheswamp starting with her and then #COMEY and t,RT   More of this crap from her   Indict her   #Lynchsyndrome #MAGA3X #draintheswamp starting with her and then #COMEY and t,,USA,Fri Oct 28 16:44:03 +0000 2016,Lilah Losh,384289847,0,0,,0,1,n/a,1,,,,
792043880459841536,More of this crap from her?  Indict her!! #Lynchsyndrome #MAGA3X #draintheswamp starting with her and then #COMEY a https://t.co/vjGxtUst1j,More of this crap from her   Indict her   #Lynchsyndrome #MAGA3X #draintheswamp starting with her and then #COMEY a ,,"Laguna, CA",Fri Oct 28 16:42:31 +0000 2016,DUDsPodcast,105917253,2,0,0,0,2,n/a,1,,,,
792411047621697538,@bigchetti lol well I think that could help.  Yeah that willie lynch syndrome is still prevalent, lol well I think that could help   Yeah that willie lynch syndrome is still prevalent,,,Sat Oct 29 17:01:30 +0000 2016,Kleankut,950866213,1,0,0,0,2,n/a,1,,,,
792529246317076480,Willie lynch syndrome at its finest https://t.co/gE29lb88c9,Willie lynch syndrome at its finest ,,Palmdale,Sun Oct 30 00:51:11 +0000 2016,Lakers 1-1,738776837778739200,1,0,0,0,2,n/a,1,,,,
793267863666647040,Were... theplanes side-by-side  or nose2nose @thehill   @irritatedwoman SoundProofSessions.. #Lynchsyndrome #BillClinton,Were    theplanes side-by-side  or nose2nose     SoundProofSessions   #Lynchsyndrome #BillClinton,,,Tue Nov 01 01:46:11 +0000 2016,Robin Johnson,1173106255,1,0,0,0,2,n/a,1,,,,
794230949445668864,Watch on #Periscope: Hillary supporters say that blacks are stupid for voting for her. she on Willie Lynch syndrome! https://t.co/c5mZQMZi2w,Watch on #Periscope  Hillary supporters say that blacks are stupid for voting for her  she on Willie Lynch syndrome  ,,"Indianapolis, IN",Thu Nov 03 17:33:09 +0000 2016,Safwan muhammed,572952478,1,0,0,0,2,n/a,1,,,,
794305524867223559,Black people always ridiculing each other  Lynch Syndrome #SaxonwoldShebeen,Black people always ridiculing each other  Lynch Syndrome #SaxonwoldShebeen,,South Africa,Thu Nov 03 22:29:29 +0000 2016,Yabo Makhanya,768111924538122243,1,0,0,0,2,n/a,1,,,,
794391864803790848,"The Willie Lynch Syndrome is alive and well, just like racism.",The Willie Lynch Syndrome is alive and well  just like racism ,,Planet X,Fri Nov 04 04:12:34 +0000 2016,Mama Nibiru,349041320,1,0,0,0,2,n/a,1,,,,
