"id","text","place","user_location","created_at","username","user_id"
"886454657958260738","RT @Guinan2017: @ddiamond @MelissaJPeltier It's called a pre-existing condition, I have Lynch Syndrome so yeah I get to have a lot of tests","","New York","Sun Jul 16 05:17:14 +0000 2017","Melissa Jo Peltier","18184205"
"892840398447669248","@MoffittNews You just followed me and it's timely. Do you have someone who can comment rapidly on a Lynch syndrome paper. For Reuters Health","","New York City","Wed Aug 02 20:11:53 +0000 2017","Marilynn Larkin","18047207"
"835922919704432641","RT @LynchCancers: Telling YOUR story is very powerful in raising awareness about Lynch Syndrome!  Here in these photos, cousins... https://","","Born in Gilfach Goch, Wales","Sun Feb 26 18:42:09 +0000 2017","Adrian Price","27397889"
"835016948400459776","RT @Bowel_Cancer_UK: Today we are presenting our research on testing for Lynch syndrome at the @CR_UK early diagnosis conference https://t.","","Born in Gilfach Goch, Wales","Fri Feb 24 06:42:09 +0000 2017","Adrian Price","27397889"
"814909478109855744","RT @OhioStateMed: Knowing your #cancer risk could save your life https://t.co/CfQV6yp0Cg","","Columbus, Ohio","Fri Dec 30 19:02:14 +0000 2016","Ohio State","18846918"
"818591914756714496","RT @OSUCCC_James: Lynch syndrome: Knowing your risk could save your life, @HHampel1 writes: https://t.co/NifnSCwarW","","Columbus, Ohio","Mon Jan 09 22:54:55 +0000 2017","Ohio State","18846918"
"818970773046132737","Screening for #cancer risk can be frightening, but the benefits outweigh the fear, says an @OSUCCC_James researcher. https://t.co/Tp3K1ciZLf","","Columbus, Ohio","Wed Jan 11 00:00:22 +0000 2017","Ohio State","18846918"
"848773888666423301","That's some old willie lynch syndrome shit","","Chasin pussy up a tree.","Mon Apr 03 05:47:19 +0000 2017","🃏","767205715941269507"
"834009392160894977","RT @Charmildavis1: Thank GOD and the mighty ancestors for keeping me ! #cancer #cancersurvivor #CancerCannot #CancerMoonshot #lynchsyndrome","","New Jersey, USA","Tue Feb 21 11:58:28 +0000 2017","LiddyCombs","465156243"
"844931053991153666","RT @AmbryGenetics: A #geneticcounselor explains the importance of individualized medical screening for patients w/ #lynchsyndrome: https://","","hamilton ontario","Thu Mar 23 15:17:15 +0000 2017","Brenna Alise Dougan","25885395"
"843947912564477952","Got this in the mail today. State of NH Proclamation for Lynch Syndrome Hereditary Cancer Awareness Day on March 22 https://t.co/LxgmgkkZZa","","Amherst, NH","Mon Mar 20 22:10:36 +0000 2017","Sandra","2794742294"
"844615763411582983","Today is Lynch Syndrome Hereditary Cancer Awareness Day. #Lynchsyndrome #lynchsyndromeawarenessday #ColonCancer https://t.co/J1MzvFmznM","","Amherst, NH","Wed Mar 22 18:24:24 +0000 2017","Sandra","2794742294"
"871526438805139459","Today, I celebrate my son and all of you that fought for your life.  #NCSD2017 #CelebrateLife #LynchSyndrome https://t.co/kH217zarO6","","Amherst, NH","Mon Jun 05 00:37:49 +0000 2017","Sandra","2794742294"
"850013934597918720","@ShewithLynch I interviewed someone just yesterday with #LynchSyndrome. Glad he shared his story","","Washington, DC","Thu Apr 06 15:54:49 +0000 2017","suraechinn","206921267"
"851246786496745472","RT @ShewithLynch: Via @suraechinn #Lynchsyndrome in the #News https://t.co/Rxj9grFm7P","","Washington, DC","Mon Apr 10 01:33:43 +0000 2017","suraechinn","206921267"
"807227558630752260","RT @NelsonEmpowered: We point fingers quarreling day after day while white supremacy sits back, laughing. We're embarrassing ourselves. Wil","","Sem O' fo, North Cackalacky","Fri Dec 09 14:17:02 +0000 2016","Helga Pataki","246572701"
"885249969531346945","Stage 3 #bowelcancer diagnosed by chance at age 35. Lucy's story via @bowelcancer: https://t.co/Irg6pEyulU https://t.co/a2NH1OlHM4","","Huntsville, AL","Wed Jul 12 21:30:14 +0000 2017","Kailos","3309258467"
"893562508786761730","#LynchSyndrome, #GeneticTesting & Counseling w/ @SheWithLynch @MyGeneCounsel via @CancerRadioNet: https://t.co/0SiT7LWJYn","","Huntsville, AL","Fri Aug 04 20:01:18 +0000 2017","Kailos","3309258467"
"804434787872215043","@DollaSignBeezy makes no sense and extremely counter productive. Willy lynch syndrome bullshit frfr","","#RVA #804 ","Thu Dec 01 21:19:33 +0000 2016","✨Ryan_Nicole_✨","201075176"
"804435619938271233","This man just said Willie lynch syndrome isn't a real thing. So you didn't read that letter huh?","","#RVA #804 ","Thu Dec 01 21:22:52 +0000 2016","✨Ryan_Nicole_✨","201075176"
