raw_tweets,label
rcp <allcaps>ath and Bowel Cancer uk <allcaps> call for improved Lynch syndrome testing in young patients <url> <url>,0
rt <allcaps>  <user> : People with a new diagnosis of <hashtag> ColorectalCancer should be offered genetic testing for Lynch syndrome <url>,0
rt <allcaps>  <user> : <hashtag> LynchsyndromeNews: nice <allcaps> recommends screening for Lynch syndrome - <url>,0
rt <allcaps>  <user> :  <user>  Excellent news from nice <allcaps>  all patients with bowel cancer will be tested for Lynch Syndrome  <url>,0
The latest Bowel Cancer Weekly  <url> Thanks to  <user>   <user>   <user>  <hashtag> bowelcancer <hashtag> lynchsyndrome,0
rt <allcaps>  <user> : What It's Like To Have <hashtag> OvarianCancer In Your 20s <url> <hashtag> hereditarycancernews <hashtag> brca <hashtag> lynchsyndrome <hashtag> gen,0
rt <allcaps>  <user> : Your story gets old  it's what you learn and do with your story that truly matters  <hashtag> Lynchsyndrome <hashtag> HereditaryCancer <hashtag> Mo,0
Do you know the risk factors for <hashtag> coloncancer  Find out what they are here: <url> <hashtag> LynchSyndrome <hashtag> genetics,0
<user>  Willie Lynch Syndrome is alive and well,0
rt <allcaps>  <user> : In the news: nice <allcaps> recommends screening for Lynch syndrome - PharmaTimes <url>,0
rt <allcaps>  <user> : <hashtag> LovesMeSome  <user>  Stellar pic of you &  <user>  <hashtag> HereditaryCancerNews <hashtag> brca <allcaps> <allcaps> <hashtag> Gencsm <allcaps> <hashtag> Lynchsyndrome https,0
rt <allcaps>  <user> : <hashtag> Lynchsyndrome  <user>  Yes  but patients should consult with a <hashtag> CertifiedGeneticCounselor prior to testing  http,0
rt <allcaps>  <user> : Hereditary colorectal cancer <url> <hashtag> coloncancer <hashtag> LynchSyndrome  <user>  <url>,0
rt <allcaps>  <user> : <hashtag> LynchSyndrome accounts for 1 in 30 <hashtag> tumours and heightens risk of other cancers <url>,0
rt <allcaps>  <user> :  <user>  pls help spread word brca <allcaps> Protect needing more lynchies for their research  <hashtag> london <hashtag> lynchsyndrome <hashtag> ucl,0
rt <allcaps>  <user> : Inherited colon cancer syndromes can be predicted through genetic testing  <hashtag> GetScreened <hashtag> LynchSyndrome,0
rt <allcaps>  <user> : nice <allcaps> issues draft guidance for <hashtag> LynchSyndrome screening in <hashtag> BowelCancer patients <url>,0
<user>  it's a game changer for <hashtag> Lynchsyndrome in the uk <allcaps>,0
<user>  pls help spread word brca <allcaps> Protect needing more lynchies for their research  <hashtag> london <hashtag> lynchsyndrome <hashtag> ucl,0
<hashtag> LynchsyndromeNews: nice <allcaps> recommends screening for Lynch syndrome - <url>,0
Your story gets old  it's what you learn and do with your story that truly matters  <hashtag> Lynchsyndrome    <url>,0
Your story gets old  it's what you learn and do with your story that truly matters  <hashtag> Lynchsyndrome <url>,0
<hashtag> PharmaTimes nice <allcaps> recommends screening for Lynch syndrome <url>,0
<hashtag> Lynchsyndrome Now <hashtag> ThisIsAdvocacy -> <url> Couldn't do it all without the generous support    <url>,0
rt <allcaps>  <user> : <hashtag> Lynchsyndrome Now <hashtag> ThisIsAdvocacy -> <url> Couldn't do it all without the generous support of  <user>,0
<hashtag> Lynchsyndrome Now <hashtag> ThisIsAdvocacy -> <url> Couldn't do it all without the generous support of <url>,0
